policy,machine,config,auc_source,auc_target,pauc,balance_ks
ch0,SewingMachine,conf-soft-m10-k1,68.9,67.24,62.05,0.3539
ch0,SewingMachine,conf-soft-m30-k1,68.92,67.2,62.11,0.357
ch0,SewingMachine,conf-soft-m100-k1,68.86,67.26,62.16,0.3604
ch0,SewingMachine,conf-soft-m300-k1,68.86,67.22,62.16,0.3618
ch0,SewingMachine,ratio-soft-k1,68.9,67.2,62.26,0.3743
ch0,SewingMachine,zscore-soft-k1,68.92,67.2,62.26,0.3616
ch0,SewingMachine,conf-hard-m0-k1,68.6,67.36,61.74,0.3624
ch0,SewingMachine,conf-hard-m10-k1,68.74,67.3,61.95,0.3618
ch0,SewingMachine,conf-hard-m30-k1,68.8,67.3,62.0,0.3618
ch0,SewingMachine,conf-hard-m100-k1,68.88,67.28,62.21,0.3618
ch0,SewingMachine,conf-hard-m300-k1,68.88,67.26,62.21,0.362
ch0,SewingMachine,ratio-hard-k1,68.82,67.4,62.21,0.3614
ch0,SewingMachine,zscore-hard-k1,68.72,67.44,62.11,0.3614
ch0,SewingMachine,raw-k2,68.66,64.74,62.47,0.3733
ch0,SewingMachine,conf-soft-m0-k2,68.52,64.7,61.84,0.3483
ch0,SewingMachine,conf-soft-m10-k2,68.56,64.7,62.37,0.3628
ch0,SewingMachine,conf-soft-m30-k2,68.62,64.78,62.58,0.3685
ch0,SewingMachine,conf-soft-m100-k2,68.62,64.8,62.63,0.3715
ch0,SewingMachine,conf-soft-m300-k2,68.58,64.76,62.53,0.3723
ch0,SewingMachine,ratio-soft-k2,68.32,64.62,62.42,0.3778
ch0,SewingMachine,zscore-soft-k2,68.42,64.66,62.32,0.3689
ch0,SewingMachine,conf-hard-m0-k2,68.42,64.68,62.0,0.3655
ch0,SewingMachine,conf-hard-m10-k2,68.52,64.72,62.26,0.3679
ch0,SewingMachine,conf-hard-m30-k2,68.56,64.7,62.32,0.3703
ch0,SewingMachine,conf-hard-m100-k2,68.62,64.74,62.47,0.3711
ch0,SewingMachine,conf-hard-m300-k2,68.62,64.74,62.47,0.3727
ch0,SewingMachine,ratio-hard-k2,68.56,64.78,62.47,0.3828
ch0,SewingMachine,zscore-hard-k2,68.48,64.74,62.32,0.3778
ch0,SewingMachine,raw-k4,67.48,63.1,62.21,0.3806
ch0,SewingMachine,conf-soft-m0-k4,66.98,62.88,60.84,0.3444
ch0,SewingMachine,conf-soft-m10-k4,67.1,62.84,61.42,0.3671
ch0,SewingMachine,conf-soft-m30-k4,67.3,62.9,61.58,0.3747
ch0,SewingMachine,conf-soft-m100-k4,67.44,63.02,62.0,0.379
ch0,SewingMachine,conf-soft-m300-k4,67.46,63.08,62.16,0.3798
ch0,SewingMachine,ratio-soft-k4,67.06,62.92,62.0,0.379
ch0,SewingMachine,zscore-soft-k4,67.22,63.02,61.95,0.3754
ch0,SewingMachine,conf-hard-m0-k4,67.24,63.04,61.79,0.3646
ch0,SewingMachine,conf-hard-m10-k4,67.32,62.98,61.89,0.3711
ch0,SewingMachine,conf-hard-m30-k4,67.38,62.98,62.05,0.3747
ch0,SewingMachine,conf-hard-m100-k4,67.4,63.06,62.16,0.3788
ch0,SewingMachine,conf-hard-m300-k4,67.48,63.1,62.21,0.38
ch0,SewingMachine,ratio-hard-k4,67.28,63.18,62.21,0.3899
ch0,SewingMachine,zscore-hard-k4,67.26,63.12,62.11,0.3826
ch0,SewingMachine,ldn-ratio-K1,67.36,63.18,61.95,0.439
ch0,SewingMachine,ldn-ratio-K16,69.04,65.72,61.0,0.3
ch0,SewingMachine,ldn-diff-K1,67.42,63.72,62.42,0.4545
ch0,SewingMachine,ldn-diff-K16,57.62,61.52,56.32,0.5818
ch0,SewingMachine,conf-soft-m0-ldnK1,67.68,63.56,62.0,0.444
ch0,SewingMachine,conf-soft-m30-ldnK1,67.7,63.62,62.0,0.4444
ch0,ToothBrush,raw-k1,66.46,51.8,50.63,0.4616
ch0,ToothBrush,conf-soft-m0-k1,63.14,54.84,52.16,0.4343
ch0,ToothBrush,conf-soft-m10-k1,64.96,53.66,51.84,0.4511
ch0,ToothBrush,conf-soft-m30-k1,65.52,52.9,51.32,0.4564
ch0,ToothBrush,conf-soft-m100-k1,66.04,52.24,50.84,0.459
ch0,ToothBrush,conf-soft-m300-k1,66.14,52.0,50.74,0.4598
ch0,ToothBrush,ratio-soft-k1,65.38,52.58,51.0,0.4313
ch0,ToothBrush,zscore-soft-k1,64.88,53.14,51.26,0.4156
ch0,ToothBrush,conf-hard-m0-k1,65.18,55.08,50.84,0.418
ch0,ToothBrush,conf-hard-m10-k1,65.72,53.88,50.84,0.4414
ch0,ToothBrush,conf-hard-m30-k1,66.0,53.06,50.84,0.4533
ch0,ToothBrush,conf-hard-m100-k1,66.32,52.34,50.84,0.4582
ch0,ToothBrush,conf-hard-m300-k1,66.38,52.1,50.63,0.4602
ch0,ToothBrush,ratio-hard-k1,65.84,52.98,50.84,0.4218
ch0,ToothBrush,zscore-hard-k1,65.48,54.02,50.84,0.4242
ch0,ToothBrush,raw-k2,67.62,50.78,50.74,0.4798
ch0,ToothBrush,conf-soft-m0-k2,64.88,53.88,52.37,0.4523
ch0,ToothBrush,conf-soft-m10-k2,66.36,52.44,51.89,0.4699
ch0,ToothBrush,conf-soft-m30-k2,67.12,51.84,51.16,0.4752
ch0,ToothBrush,conf-soft-m100-k2,67.42,51.26,50.89,0.477
ch0,ToothBrush,conf-soft-m300-k2,67.52,50.96,50.84,0.4788
ch0,ToothBrush,ratio-soft-k2,66.82,51.66,50.89,0.4552
ch0,ToothBrush,zscore-soft-k2,66.24,51.8,50.89,0.4448
ch0,ToothBrush,conf-hard-m0-k2,66.6,54.22,51.16,0.4428
ch0,ToothBrush,conf-hard-m10-k2,67.06,52.96,51.16,0.459
ch0,ToothBrush,conf-hard-m30-k2,67.3,51.84,51.0,0.4709
ch0,ToothBrush,conf-hard-m100-k2,67.54,51.2,50.89,0.4774
ch0,ToothBrush,conf-hard-m300-k2,67.58,50.94,50.79,0.4788
ch0,ToothBrush,ratio-hard-k2,66.96,51.6,50.89,0.4396
ch0,ToothBrush,zscore-hard-k2,66.68,52.04,50.89,0.4287
ch0,ToothBrush,raw-k4,68.76,50.28,50.47,0.4719
ch0,ToothBrush,conf-soft-m0-k4,67.08,52.9,52.16,0.4436
ch0,ToothBrush,conf-soft-m10-k4,67.86,52.04,51.63,0.4576
ch0,ToothBrush,conf-soft-m30-k4,68.2,51.2,51.0,0.4653
ch0,ToothBrush,conf-soft-m100-k4,68.44,50.72,50.84,0.4675
ch0,ToothBrush,conf-soft-m300-k4,68.62,50.5,50.53,0.4695
ch0,ToothBrush,ratio-soft-k4,68.18,51.04,50.53,0.4547
ch0,ToothBrush,zscore-soft-k4,67.96,51.06,50.47,0.4374
ch0,ToothBrush,conf-hard-m0-k4,67.72,53.76,51.0,0.4164
ch0,ToothBrush,conf-hard-m10-k4,68.24,52.44,51.0,0.4489
ch0,ToothBrush,conf-hard-m30-k4,68.48,51.28,50.95,0.458
ch0,ToothBrush,conf-hard-m100-k4,68.66,50.76,50.68,0.4679
ch0,ToothBrush,conf-hard-m300-k4,68.7,50.56,50.68,0.4703
ch0,ToothBrush,ratio-hard-k4,68.34,51.04,50.68,0.4402
ch0,ToothBrush,zscore-hard-k4,68.12,51.08,50.47,0.3828
ch0,ToothBrush,ldn-ratio-K1,62.38,56.84,54.21,0.4309
ch0,ToothBrush,ldn-ratio-K16,62.3,52.82,52.89,0.4515
ch0,ToothBrush,ldn-diff-K1,63.3,57.46,54.16,0.4362
ch0,ToothBrush,ldn-diff-K16,67.9,35.56,47.37,0.6168
ch0,ToothBrush,conf-soft-m0-ldnK1,62.36,56.8,54.26,0.4313
ch0,ToothBrush,conf-soft-m30-ldnK1,62.38,56.8,54.26,0.4313
ch0,ToyDrone,raw-k1,80.56,35.92,52.74,0.6798
ch0,ToyDrone,conf-soft-m0-k1,74.42,52.36,58.11,0.4499
ch0,ToyDrone,conf-soft-m10-k1,77.62,46.26,57.74,0.5497
ch0,ToyDrone,conf-soft-m30-k1,79.14,42.36,56.26,0.6222
ch0,ToyDrone,conf-soft-m100-k1,79.96,39.34,55.42,0.6531
