split,machine,config,auc_source,auc_target,pauc,balance_ks
dev,ToyCar,conf-soft-m300-k4,58.96,72.32,51.89,0.9826
dev,ToyCar,ratio-soft-k4,59.14,70.7,50.53,0.8275
dev,ToyCar,zscore-soft-k4,59.22,70.78,50.53,0.8202
dev,ToyCar,conf-hard-m0-k4,49.58,67.5,50.68,0.4499
dev,ToyCar,conf-hard-m10-k4,51.26,67.16,50.68,0.7341
dev,ToyCar,conf-hard-m30-k4,52.32,66.68,50.68,0.8788
dev,ToyCar,conf-hard-m100-k4,55.0,66.16,50.68,0.9543
dev,ToyCar,conf-hard-m300-k4,61.38,63.58,50.68,0.9798
dev,ToyCar,ratio-hard-k4,50.64,67.34,50.68,0.4661
dev,ToyCar,zscore-hard-k4,50.76,67.32,50.68,0.4818
dev,ToyCar,ldn-ratio-K1,32.84,83.24,50.84,0.4517
dev,ToyCar,ldn-ratio-K16,38.32,82.62,50.37,0.7398
dev,ToyCar,ldn-diff-K1,47.7,79.36,50.05,0.6154
dev,ToyCar,ldn-diff-K16,45.0,64.7,51.42,0.3782
dev,ToyCar,conf-soft-m0-ldnK1,32.62,83.34,50.74,0.4394
dev,ToyCar,conf-soft-m30-ldnK1,32.7,83.28,50.74,0.4428
dev,ToyTrain,raw-k1,85.04,69.8,53.84,0.9927
dev,ToyTrain,conf-soft-m0-k1,65.04,61.44,52.37,0.6527
dev,ToyTrain,conf-soft-m10-k1,69.44,62.16,52.79,0.8507
dev,ToyTrain,conf-soft-m30-k1,73.18,62.9,52.89,0.9281
dev,ToyTrain,conf-soft-m100-k1,79.04,65.12,53.89,0.9707
dev,ToyTrain,conf-soft-m300-k1,82.82,67.78,54.74,0.9832
dev,ToyTrain,ratio-soft-k1,82.52,71.9,54.95,0.8735
dev,ToyTrain,zscore-soft-k1,81.9,71.78,55.05,0.8566
dev,ToyTrain,conf-hard-m0-k1,76.76,71.34,55.32,0.6887
dev,ToyTrain,conf-hard-m10-k1,77.88,71.22,55.32,0.7909
dev,ToyTrain,conf-hard-m30-k1,79.1,71.0,55.32,0.8828
dev,ToyTrain,conf-hard-m100-k1,81.46,70.82,55.32,0.9584
dev,ToyTrain,conf-hard-m300-k1,83.46,71.1,55.42,0.9782
dev,ToyTrain,ratio-hard-k1,79.74,71.7,55.42,0.738
dev,ToyTrain,zscore-hard-k1,78.24,71.56,55.32,0.698
dev,ToyTrain,raw-k2,84.78,64.96,52.95,0.9885
dev,ToyTrain,conf-soft-m0-k2,65.16,60.06,52.21,0.6739
dev,ToyTrain,conf-soft-m10-k2,69.12,60.6,52.53,0.861
dev,ToyTrain,conf-soft-m30-k2,72.86,61.06,52.89,0.937
dev,ToyTrain,conf-soft-m100-k2,78.92,63.0,53.74,0.9695
dev,ToyTrain,conf-soft-m300-k2,83.04,64.76,54.53,0.9806
dev,ToyTrain,ratio-soft-k2,83.0,71.16,55.05,0.8921
dev,ToyTrain,zscore-soft-k2,82.08,71.26,55.05,0.8758
dev,ToyTrain,conf-hard-m0-k2,76.86,70.76,55.11,0.6885
dev,ToyTrain,conf-hard-m10-k2,78.18,70.54,55.11,0.7909
dev,ToyTrain,conf-hard-m30-k2,79.0,70.14,55.11,0.8877
dev,ToyTrain,conf-hard-m100-k2,81.7,69.64,55.11,0.9552
dev,ToyTrain,conf-hard-m300-k2,83.48,69.06,55.21,0.9758
dev,ToyTrain,ratio-hard-k2,80.9,70.76,55.21,0.7529
dev,ToyTrain,zscore-hard-k2,78.38,70.88,55.11,0.7299
dev,ToyTrain,raw-k4,84.5,60.8,51.21,0.9798
dev,ToyTrain,conf-soft-m0-k4,64.84,58.7,52.0,0.6624
dev,ToyTrain,conf-soft-m10-k4,69.12,59.1,52.47,0.8616
