policy,machine,config,auc_source,auc_target,pauc,balance_ks
mix,bearingEmu,conf-hard-m0-k1,53.7,52.52,54.84,0.3204
mix,bearingEmu,conf-hard-m10-k1,53.6,52.56,54.84,0.3218
mix,bearingEmu,conf-hard-m30-k1,53.52,52.56,54.84,0.3222
mix,bearingEmu,conf-hard-m100-k1,53.46,52.54,54.84,0.3224
mix,bearingEmu,conf-hard-m300-k1,53.48,52.56,54.84,0.3224
mix,bearingEmu,ratio-hard-k1,53.48,52.56,54.84,0.3216
mix,bearingEmu,zscore-hard-k1,53.56,52.54,54.84,0.321
mix,bearingEmu,raw-k2,52.2,51.64,54.74,0.3465
mix,bearingEmu,conf-soft-m0-k2,52.06,51.44,54.53,0.3485
mix,bearingEmu,conf-soft-m10-k2,52.1,51.58,54.58,0.3457
mix,bearingEmu,conf-soft-m30-k2,52.2,51.54,54.68,0.3463
mix,bearingEmu,conf-soft-m100-k2,52.16,51.54,54.68,0.3471
mix,bearingEmu,conf-soft-m300-k2,52.2,51.58,54.79,0.3467
mix,bearingEmu,ratio-soft-k2,52.12,51.66,54.74,0.3497
mix,bearingEmu,zscore-soft-k2,52.24,51.6,54.74,0.3483
mix,bearingEmu,conf-hard-m0-k2,52.34,51.7,54.74,0.344
mix,bearingEmu,conf-hard-m10-k2,52.28,51.7,54.74,0.3459
mix,bearingEmu,conf-hard-m30-k2,52.2,51.64,54.74,0.3463
mix,bearingEmu,conf-hard-m100-k2,52.2,51.64,54.74,0.3465
mix,bearingEmu,conf-hard-m300-k2,52.2,51.64,54.74,0.3465
mix,bearingEmu,ratio-hard-k2,52.18,51.7,54.74,0.3448
mix,bearingEmu,zscore-hard-k2,52.3,51.68,54.74,0.3446
mix,bearingEmu,raw-k4,51.3,52.34,54.74,0.3244
mix,bearingEmu,conf-soft-m0-k4,51.28,52.24,54.37,0.324
mix,bearingEmu,conf-soft-m10-k4,51.32,52.22,54.42,0.3212
mix,bearingEmu,conf-soft-m30-k4,51.3,52.28,54.63,0.3222
mix,bearingEmu,conf-soft-m100-k4,51.26,52.34,54.74,0.3253
mix,bearingEmu,conf-soft-m300-k4,51.28,52.3,54.74,0.3251
mix,bearingEmu,ratio-soft-k4,51.12,52.52,54.63,0.3301
mix,bearingEmu,zscore-soft-k4,51.24,52.28,54.63,0.3224
mix,bearingEmu,conf-hard-m0-k4,51.46,52.48,54.74,0.3226
mix,bearingEmu,conf-hard-m10-k4,51.42,52.4,54.74,0.3234
mix,bearingEmu,conf-hard-m30-k4,51.32,52.38,54.74,0.324
mix,bearingEmu,conf-hard-m100-k4,51.3,52.36,54.74,0.324
mix,bearingEmu,conf-hard-m300-k4,51.3,52.36,54.74,0.3246
mix,bearingEmu,ratio-hard-k4,51.38,52.48,54.74,0.3232
mix,bearingEmu,zscore-hard-k4,51.34,52.4,54.74,0.3226
mix,bearingEmu,ldn-ratio-K1,60.4,61.42,57.95,0.3034
mix,bearingEmu,ldn-ratio-K16,55.22,55.54,57.11,0.3329
mix,bearingEmu,ldn-diff-K1,61.6,63.32,58.68,0.302
mix,bearingEmu,ldn-diff-K16,54.4,55.02,50.63,0.4113
mix,bearingEmu,conf-soft-m0-ldnK1,60.4,61.42,58.0,0.3065
mix,bearingEmu,conf-soft-m30-ldnK1,60.34,61.44,57.95,0.3063
mix,fan,raw-k1,55.52,48.74,51.68,0.3206
mix,fan,conf-soft-m0-k1,55.52,48.52,51.21,0.3184
mix,fan,conf-soft-m10-k1,55.58,48.66,51.53,0.3198
mix,fan,conf-soft-m30-k1,55.52,48.68,51.58,0.3202
mix,fan,conf-soft-m100-k1,55.5,48.68,51.68,0.3204
mix,fan,conf-soft-m300-k1,55.56,48.72,51.74,0.3204
mix,fan,ratio-soft-k1,55.58,48.84,51.68,0.3251
mix,fan,zscore-soft-k1,55.36,48.3,51.11,0.3271
mix,fan,conf-hard-m0-k1,55.48,48.7,51.68,0.3214
mix,fan,conf-hard-m10-k1,55.52,48.72,51.68,0.3208
mix,fan,conf-hard-m30-k1,55.52,48.76,51.68,0.3206
mix,fan,conf-hard-m100-k1,55.52,48.74,51.68,0.3206
mix,fan,conf-hard-m300-k1,55.52,48.74,51.68,0.3206
mix,fan,ratio-hard-k1,55.6,48.82,51.68,0.3192
mix,fan,zscore-hard-k1,54.9,48.14,51.68,0.3194
mix,fan,raw-k2,53.1,46.84,51.79,0.3604
mix,fan,conf-soft-m0-k2,52.92,46.24,51.37,0.3584
mix,fan,conf-soft-m10-k2,52.94,46.6,51.58,0.3592
mix,fan,conf-soft-m30-k2,53.04,46.72,51.68,0.3592
mix,fan,conf-soft-m100-k2,53.06,46.72,51.74,0.36
mix,fan,conf-soft-m300-k2,53.04,46.8,51.74,0.3606
mix,fan,ratio-soft-k2,53.1,46.84,51.79,0.363
mix,fan,zscore-soft-k2,52.56,45.96,51.0,0.3636
mix,fan,conf-hard-m0-k2,52.92,46.62,51.79,0.3616
mix,fan,conf-hard-m10-k2,52.98,46.7,51.79,0.3606
mix,fan,conf-hard-m30-k2,53.0,46.74,51.79,0.3606
mix,fan,conf-hard-m100-k2,53.1,46.8,51.79,0.3606
mix,fan,conf-hard-m300-k2,53.1,46.8,51.79,0.3606
mix,fan,ratio-hard-k2,53.1,46.84,51.79,0.3598
mix,fan,zscore-hard-k2,52.36,46.24,51.79,0.36
mix,fan,raw-k4,52.82,46.12,51.05,0.3673
mix,fan,conf-soft-m0-k4,52.66,45.5,50.95,0.3657
mix,fan,conf-soft-m10-k4,52.76,45.84,50.95,0.3679
mix,fan,conf-soft-m30-k4,52.72,46.04,50.95,0.3681
mix,fan,conf-soft-m100-k4,52.84,46.14,51.11,0.3679
mix,fan,conf-soft-m300-k4,52.82,46.12,51.11,0.3675
mix,fan,ratio-soft-k4,52.8,46.12,51.05,0.3651
mix,fan,zscore-soft-k4,52.32,45.12,50.89,0.3653
mix,fan,conf-hard-m0-k4,52.7,45.86,51.05,0.3685
mix,fan,conf-hard-m10-k4,52.68,46.0,51.05,0.3677
mix,fan,conf-hard-m30-k4,52.74,46.02,51.05,0.3675
mix,fan,conf-hard-m100-k4,52.8,46.1,51.05,0.3675
mix,fan,conf-hard-m300-k4,52.82,46.14,51.05,0.3675
mix,fan,ratio-hard-k4,52.82,46.12,51.05,0.3679
mix,fan,zscore-hard-k4,51.98,45.26,51.05,0.3683
mix,fan,ldn-ratio-K1,50.1,46.9,48.21,0.3105
