policy,machine,config,auc_source,auc_target,pauc,balance_ks
mix,Sander,ldn-diff-K16,57.02,49.3,50.47,0.3636
mix,Sander,conf-soft-m0-ldnK1,59.94,52.32,50.05,0.3853
mix,Sander,conf-soft-m30-ldnK1,59.9,52.26,50.05,0.3834
mix,SewingMachine,raw-k1,68.24,65.02,61.0,0.3022
mix,SewingMachine,conf-soft-m0-k1,68.0,65.0,60.68,0.3204
mix,SewingMachine,conf-soft-m10-k1,68.14,64.94,60.74,0.3081
mix,SewingMachine,conf-soft-m30-k1,68.22,65.0,60.89,0.3046
mix,SewingMachine,conf-soft-m100-k1,68.2,65.02,60.95,0.3042
mix,SewingMachine,conf-soft-m300-k1,68.2,65.0,60.95,0.3028
mix,SewingMachine,ratio-soft-k1,68.14,65.04,60.95,0.3188
mix,SewingMachine,zscore-soft-k1,68.04,64.94,60.89,0.3178
mix,SewingMachine,conf-hard-m0-k1,68.14,64.88,61.0,0.3222
mix,SewingMachine,conf-hard-m10-k1,68.24,64.96,61.0,0.304
mix,SewingMachine,conf-hard-m30-k1,68.24,65.02,61.0,0.3022
mix,SewingMachine,conf-hard-m100-k1,68.24,65.02,61.0,0.3022
mix,SewingMachine,conf-hard-m300-k1,68.24,65.02,61.0,0.3022
mix,SewingMachine,ratio-hard-k1,68.18,64.96,61.0,0.3022
mix,SewingMachine,zscore-hard-k1,68.06,64.82,61.0,0.3089
mix,SewingMachine,raw-k2,68.24,65.08,61.74,0.3368
mix,SewingMachine,conf-soft-m0-k2,68.24,64.88,61.53,0.3426
mix,SewingMachine,conf-soft-m10-k2,68.18,64.82,61.53,0.3384
mix,SewingMachine,conf-soft-m30-k2,68.26,64.92,61.63,0.3366
mix,SewingMachine,conf-soft-m100-k2,68.24,65.06,61.68,0.337
mix,SewingMachine,conf-soft-m300-k2,68.22,65.06,61.68,0.3358
mix,SewingMachine,ratio-soft-k2,68.32,65.1,61.79,0.3525
mix,SewingMachine,zscore-soft-k2,68.24,64.96,61.63,0.3398
mix,SewingMachine,conf-hard-m0-k2,68.12,64.9,61.74,0.3473
mix,SewingMachine,conf-hard-m10-k2,68.16,64.94,61.74,0.3366
mix,SewingMachine,conf-hard-m30-k2,68.18,65.0,61.74,0.3368
mix,SewingMachine,conf-hard-m100-k2,68.2,65.04,61.74,0.3368
mix,SewingMachine,conf-hard-m300-k2,68.24,65.08,61.74,0.3368
mix,SewingMachine,ratio-hard-k2,68.24,65.12,61.74,0.3364
mix,SewingMachine,zscore-hard-k2,68.12,64.88,61.74,0.3368
mix,SewingMachine,raw-k4,66.62,64.74,61.95,0.3495
mix,SewingMachine,conf-soft-m0-k4,66.38,64.7,61.68,0.3459
mix,SewingMachine,conf-soft-m10-k4,66.5,64.72,62.0,0.3503
mix,SewingMachine,conf-soft-m30-k4,66.54,64.76,62.05,0.3477
mix,SewingMachine,conf-soft-m100-k4,66.58,64.8,62.11,0.3479
mix,SewingMachine,conf-soft-m300-k4,66.6,64.8,61.95,0.3487
mix,SewingMachine,ratio-soft-k4,66.58,64.88,62.0,0.3657
mix,SewingMachine,zscore-soft-k4,66.48,64.84,62.11,0.3499
mix,SewingMachine,conf-hard-m0-k4,66.46,64.62,61.95,0.3592
mix,SewingMachine,conf-hard-m10-k4,66.54,64.74,61.95,0.3497
mix,SewingMachine,conf-hard-m30-k4,66.58,64.74,61.95,0.3495
mix,SewingMachine,conf-hard-m100-k4,66.58,64.74,61.95,0.3495
mix,SewingMachine,conf-hard-m300-k4,66.62,64.74,61.95,0.3495
mix,SewingMachine,ratio-hard-k4,66.64,64.86,61.95,0.3489
mix,SewingMachine,zscore-hard-k4,66.46,64.62,61.95,0.3491
mix,SewingMachine,ldn-ratio-K1,66.94,63.58,61.16,0.3477
mix,SewingMachine,ldn-ratio-K16,67.14,65.94,61.42,0.3349
mix,SewingMachine,ldn-diff-K1,65.88,63.4,61.68,0.3671
mix,SewingMachine,ldn-diff-K16,50.98,55.22,52.21,0.4994
mix,SewingMachine,conf-soft-m0-ldnK1,67.0,63.88,61.16,0.3455
mix,SewingMachine,conf-soft-m30-ldnK1,67.04,63.86,61.21,0.3455
mix,ToothBrush,raw-k1,54.04,34.28,48.26,0.5414
mix,ToothBrush,conf-soft-m0-k1,53.44,35.92,49.53,0.4552
mix,ToothBrush,conf-soft-m10-k1,53.6,35.26,49.37,0.5123
mix,ToothBrush,conf-soft-m30-k1,53.76,34.88,48.95,0.5281
mix,ToothBrush,conf-soft-m100-k1,53.92,34.6,48.58,0.5349
mix,ToothBrush,conf-soft-m300-k1,53.92,34.42,48.47,0.5392
mix,ToothBrush,ratio-soft-k1,53.0,35.1,48.58,0.5083
mix,ToothBrush,zscore-soft-k1,53.38,35.0,48.58,0.4958
mix,ToothBrush,conf-hard-m0-k1,54.04,37.36,48.26,0.4228
mix,ToothBrush,conf-hard-m10-k1,54.04,36.0,48.26,0.4737
mix,ToothBrush,conf-hard-m30-k1,54.04,35.3,48.26,0.5103
mix,ToothBrush,conf-hard-m100-k1,54.04,34.74,48.26,0.5301
mix,ToothBrush,conf-hard-m300-k1,54.04,34.46,48.26,0.5354
mix,ToothBrush,ratio-hard-k1,54.04,36.06,48.26,0.476
mix,ToothBrush,zscore-hard-k1,54.04,36.24,48.26,0.4558
mix,ToothBrush,raw-k2,52.96,33.42,48.16,0.5848
mix,ToothBrush,conf-soft-m0-k2,52.58,35.24,49.42,0.5077
mix,ToothBrush,conf-soft-m10-k2,52.78,34.72,49.32,0.5537
mix,ToothBrush,conf-soft-m30-k2,52.9,34.28,49.11,0.5735
mix,ToothBrush,conf-soft-m100-k2,52.92,33.86,48.58,0.5818
mix,ToothBrush,conf-soft-m300-k2,52.92,33.64,48.21,0.584
mix,ToothBrush,ratio-soft-k2,51.6,34.7,48.63,0.5505
mix,ToothBrush,zscore-soft-k2,52.18,34.32,48.63,0.5448
mix,ToothBrush,conf-hard-m0-k2,52.96,36.6,48.26,0.4453
mix,ToothBrush,conf-hard-m10-k2,52.96,35.42,48.26,0.5192
mix,ToothBrush,conf-hard-m30-k2,52.96,34.52,48.26,0.5547
mix,ToothBrush,conf-hard-m100-k2,52.96,34.02,48.26,0.5752
mix,ToothBrush,conf-hard-m300-k2,52.96,33.68,48.26,0.583
mix,ToothBrush,ratio-hard-k2,52.96,36.12,48.26,0.5095
mix,ToothBrush,zscore-hard-k2,52.96,35.48,48.26,0.4986
mix,ToothBrush,raw-k4,50.56,33.8,48.53,0.6008
mix,ToothBrush,conf-soft-m0-k4,49.82,35.28,49.53,0.5339
mix,ToothBrush,conf-soft-m10-k4,50.1,35.06,49.42,0.5719
mix,ToothBrush,conf-soft-m30-k4,50.34,34.68,49.05,0.584
mix,ToothBrush,conf-soft-m100-k4,50.46,34.28,48.68,0.5929
mix,ToothBrush,conf-soft-m300-k4,50.54,34.0,48.58,0.5972
mix,ToothBrush,ratio-soft-k4,49.58,35.44,48.89,0.5687
mix,ToothBrush,zscore-soft-k4,49.76,35.14,48.84,0.5725
mix,ToothBrush,conf-hard-m0-k4,50.56,36.54,48.58,0.4352
mix,ToothBrush,conf-hard-m10-k4,50.56,35.34,48.58,0.5327
mix,ToothBrush,conf-hard-m30-k4,50.56,34.74,48.58,0.5655
mix,ToothBrush,conf-hard-m100-k4,50.56,34.36,48.58,0.5844
mix,ToothBrush,conf-hard-m300-k4,50.56,34.02,48.58,0.5939
mix,ToothBrush,ratio-hard-k4,50.56,36.58,48.58,0.4952
mix,ToothBrush,zscore-hard-k4,50.56,35.58,48.58,0.5034
mix,ToothBrush,ldn-ratio-K1,50.96,47.08,50.53,0.3994
mix,ToothBrush,ldn-ratio-K16,50.12,50.5,50.79,0.3691
mix,ToothBrush,ldn-diff-K1,49.88,45.16,49.63,0.4115
mix,ToothBrush,ldn-diff-K16,51.68,31.82,47.89,0.6307
