policy,machine,config,auc_source,auc_target,pauc,balance_ks
ch0,ToyCarEmu,zscore-hard-k4,48.32,76.86,51.21,0.5036
ch0,ToyCarEmu,ldn-ratio-K1,44.58,78.72,50.16,0.4121
ch0,ToyCarEmu,ldn-ratio-K16,41.44,86.04,50.26,0.4216
ch0,ToyCarEmu,ldn-diff-K1,45.84,76.08,50.37,0.5119
ch0,ToyCarEmu,ldn-diff-K16,57.76,41.92,51.79,0.4374
ch0,ToyCarEmu,conf-soft-m0-ldnK1,44.74,78.44,50.16,0.396
ch0,ToyCarEmu,conf-soft-m30-ldnK1,44.74,78.42,50.16,0.3972
ch0,bearingEmu,raw-k1,55.98,55.52,56.84,0.3141
ch0,bearingEmu,conf-soft-m0-k1,55.8,55.36,56.32,0.3188
ch0,bearingEmu,conf-soft-m10-k1,56.12,55.58,57.0,0.3145
ch0,bearingEmu,conf-soft-m30-k1,56.14,55.5,57.0,0.3137
ch0,bearingEmu,conf-soft-m100-k1,56.06,55.52,56.89,0.3137
ch0,bearingEmu,conf-soft-m300-k1,56.04,55.52,56.84,0.3137
ch0,bearingEmu,ratio-soft-k1,56.12,55.48,56.79,0.3176
ch0,bearingEmu,zscore-soft-k1,56.22,55.38,56.84,0.3115
ch0,bearingEmu,conf-hard-m0-k1,55.74,55.98,56.53,0.3139
ch0,bearingEmu,conf-hard-m10-k1,55.88,55.72,56.74,0.3139
ch0,bearingEmu,conf-hard-m30-k1,55.9,55.68,56.84,0.3139
ch0,bearingEmu,conf-hard-m100-k1,55.96,55.56,56.95,0.3139
ch0,bearingEmu,conf-hard-m300-k1,55.96,55.52,56.84,0.3139
ch0,bearingEmu,ratio-hard-k1,56.0,55.52,56.84,0.3135
ch0,bearingEmu,zscore-hard-k1,56.26,55.78,56.95,0.3135
ch0,bearingEmu,raw-k2,55.3,54.32,56.95,0.3079
ch0,bearingEmu,conf-soft-m0-k2,55.04,54.12,56.37,0.3081
ch0,bearingEmu,conf-soft-m10-k2,55.14,54.24,56.58,0.3079
ch0,bearingEmu,conf-soft-m30-k2,55.12,54.36,56.63,0.3079
ch0,bearingEmu,conf-soft-m100-k2,55.22,54.3,56.84,0.3081
ch0,bearingEmu,conf-soft-m300-k2,55.24,54.28,56.89,0.3079
ch0,bearingEmu,ratio-soft-k2,55.26,54.16,57.0,0.3069
ch0,bearingEmu,zscore-soft-k2,55.42,54.14,57.05,0.2994
ch0,bearingEmu,conf-hard-m0-k2,54.82,54.66,56.53,0.3073
ch0,bearingEmu,conf-hard-m10-k2,55.06,54.5,56.74,0.3079
ch0,bearingEmu,conf-hard-m30-k2,55.24,54.42,56.84,0.3079
ch0,bearingEmu,conf-hard-m100-k2,55.26,54.36,56.89,0.3079
ch0,bearingEmu,conf-hard-m300-k2,55.26,54.32,56.84,0.3079
ch0,bearingEmu,ratio-hard-k2,55.28,54.42,56.89,0.3071
ch0,bearingEmu,zscore-hard-k2,55.4,54.46,56.95,0.3077
ch0,bearingEmu,raw-k4,55.4,54.64,56.47,0.3053
ch0,bearingEmu,conf-soft-m0-k4,55.2,54.64,55.79,0.3036
ch0,bearingEmu,conf-soft-m10-k4,55.18,54.7,56.11,0.3051
ch0,bearingEmu,conf-soft-m30-k4,55.26,54.7,56.11,0.3046
ch0,bearingEmu,conf-soft-m100-k4,55.34,54.62,56.26,0.3053
ch0,bearingEmu,conf-soft-m300-k4,55.36,54.68,56.47,0.3051
ch0,bearingEmu,ratio-soft-k4,55.42,54.7,56.53,0.3053
ch0,bearingEmu,zscore-soft-k4,55.5,54.72,56.53,0.3059
ch0,bearingEmu,conf-hard-m0-k4,55.08,54.92,56.26,0.3055
ch0,bearingEmu,conf-hard-m10-k4,55.2,54.86,56.37,0.3053
ch0,bearingEmu,conf-hard-m30-k4,55.24,54.74,56.42,0.3053
ch0,bearingEmu,conf-hard-m100-k4,55.34,54.7,56.47,0.3053
ch0,bearingEmu,conf-hard-m300-k4,55.4,54.66,56.53,0.3053
ch0,bearingEmu,ratio-hard-k4,55.5,54.74,56.53,0.3038
ch0,bearingEmu,zscore-hard-k4,55.66,54.76,56.53,0.3046
ch0,bearingEmu,ldn-ratio-K1,61.76,61.88,58.21,0.3236
ch0,bearingEmu,ldn-ratio-K16,62.0,60.14,58.11,0.3851
ch0,bearingEmu,ldn-diff-K1,63.14,62.8,58.89,0.3263
ch0,bearingEmu,ldn-diff-K16,57.16,56.02,50.79,0.383
ch0,bearingEmu,conf-soft-m0-ldnK1,61.56,61.94,58.26,0.3257
ch0,bearingEmu,conf-soft-m30-ldnK1,61.52,61.92,58.26,0.324
ch0,fan,raw-k1,49.96,45.2,49.53,0.2917
ch0,fan,conf-soft-m0-k1,49.94,45.48,49.37,0.2978
ch0,fan,conf-soft-m10-k1,50.02,45.36,49.47,0.2929
ch0,fan,conf-soft-m30-k1,50.0,45.28,49.47,0.2915
ch0,fan,conf-soft-m100-k1,49.92,45.18,49.42,0.2915
ch0,fan,conf-soft-m300-k1,49.94,45.16,49.42,0.2917
ch0,fan,ratio-soft-k1,49.76,45.64,49.53,0.3
ch0,fan,zscore-soft-k1,49.62,45.0,49.42,0.3111
ch0,fan,conf-hard-m0-k1,49.98,45.2,49.53,0.2905
ch0,fan,conf-hard-m10-k1,49.96,45.2,49.53,0.2911
ch0,fan,conf-hard-m30-k1,49.96,45.2,49.53,0.2913
ch0,fan,conf-hard-m100-k1,49.96,45.2,49.53,0.2917
ch0,fan,conf-hard-m300-k1,49.96,45.2,49.53,0.2917
ch0,fan,ratio-hard-k1,49.98,45.34,49.53,0.2911
ch0,fan,zscore-hard-k1,49.34,44.52,49.53,0.2903
ch0,fan,raw-k2,48.0,42.98,49.95,0.2947
ch0,fan,conf-soft-m0-k2,48.06,43.24,50.16,0.2972
ch0,fan,conf-soft-m10-k2,48.04,43.22,50.05,0.2982
ch0,fan,conf-soft-m30-k2,48.04,43.2,50.0,0.2962
ch0,fan,conf-soft-m100-k2,48.02,43.06,49.84,0.2949
ch0,fan,conf-soft-m300-k2,48.02,43.04,49.95,0.2952
ch0,fan,ratio-soft-k2,48.14,43.22,49.89,0.3012
ch0,fan,zscore-soft-k2,47.92,42.46,49.95,0.3093
ch0,fan,conf-hard-m0-k2,48.14,43.14,49.95,0.2937
